Plant_ID,rgr_h_FM,rgr_h_MA,rgr_h_AM,rgr_h_MJ,rgr_l_FM,rgr_l_MA,rgr_l_AM,rgr_l_MJ,rgr_v_FM,rgr_v_MA,rgr_v_AM,rgr_v_MJ
C1.TRIHIR.1,0.06891382573954058,0.0501359132258758,0.015811029316180933,NA,0.015594811850314015,0.02020452678567719,-0.007076749580411887,NA,0.12410938440451452,0.14065025683920357,0.03158467893940663,NA
C2.BRODIA.1,NA,0.025515594737985717,-0.0012533697102435376,NA,NA,0.0033361152852327434,-0.03606700010925662,NA,NA,0.07490120833406409,-0.013953929979566593,NA
C2.BROHOR.1,NA,0.04620981203732969,-0.008042501509103638,NA,NA,-0.0031770059934774922,-0.005721629520877183,NA,NA,0.08112044518001499,-0.008496336819344669,NA
C2.BROMAD.1,NA,0.036133782974898575,NA,NA,NA,-0.011889164797957756,NA,NA,NA,0.01347038451456776,NA,NA
C2.CENMEL.1,0.06595378569584334,0.029182291245129995,0.040587195191883,NA,0.012248220427635959,0.03761550839392636,0.09593100660274141,NA,0.1376334799580872,0.05895058995669652,0.10274401858492892,NA
C2.CORFIL.1,0.03632544649387891,0.024907146727674037,0.028303394454488068,0.008420584845242827,0.008582444281315774,0.008745475482249694,0.042714883601962156,0.027126663398992015,0.08679415376180846,0.0744342150209734,0.038838717825293106,0.04473961617537376
C2.ESCCAL.1,0.0422543187949273,0.03662040962227032,-0.007567962800805308,0.035583524837473526,0.015594811850314007,-0.0022997623828983887,0.010511281947512968,0.04778895917906175,0.10250717294886261,0.07396286913724663,0.0042584858793802355,0.0809665427523742
C2.MICCAL.1,0.0499724224665485,0.03952078885525798,NA,NA,0.01395790360343725,-0.001481725419027787,NA,NA,0.13339756478845322,0.08890760688606517,NA,NA
C3.AIRCAR.1,0.03118962370062803,0.034055041584399384,0.028383080005527833,NA,0,0.007438118377140324,-Inf,NA,0.03118962370062803,0.08026485362172905,0.0010246819632184628,NA
C3.BRODIA.1,NA,0.027874934140020624,0.028910849701792356,NA,NA,0.013515503603605457,-0.04363758096325085,NA,NA,0.08046971904055006,0.0654571774285051,NA
C3.BROHOR.1,NA,0.05972531564093517,NA,NA,NA,-8.032517193020154e-4,NA,NA,NA,0.08710536617705597,NA,NA
C3.DAUPUS.1-C8,NA,0.04013242681086453,NA,NA,NA,0.013515503603605483,NA,NA,NA,0.09026834003674035,NA,NA
C3.GALPAR.1,0.05331901388922656,0.04175876561651227,0.04428459192220338,NA,0.06556723431686251,0.05934435911348109,0.023273129365410875,NA,0.14375652378012954,0.12898211303364499,0.11318807315024824,NA
C3.HYPGLA.1,0.015594811850314015,0.06323733282952938,0.05436879303710403,NA,0.02260717941931228,0.006689023182071704,-0.0023827544951081194,NA,0.08381561814744388,0.12606304368939283,0.044082153344944454,NA
C3.MADGRA.1,0.013718267074566633,0.04620981203732969,0.04942617548827639,NA,0.03118962370062803,0.060937570446630986,0.04619551358276513,NA,0.0807876930786443,0.0912290213212567,0.09709572201515172,NA
C4.AVEBAR.1,NA,0.05218784299252358,0.034738353710894856,NA,NA,-0.0055684694887722175,-0.031388922533374546,NA,NA,0.14783257859734764,0.03481956104715001,NA
C4.BRODIA.1,NA,0.07469032297586528,-0.004243898620950595,NA,NA,0.01654789621046303,-0.09008358653634027,NA,NA,0.12866547088160293,-0.06411921627312474,NA
C4.BROHOR.1,NA,0.06931471805599454,NA,NA,NA,-0.0011300517225227107,NA,NA,NA,0.09613669588734618,NA,NA
C4.DAUPUS.1,0.05331901388922656,0.05972531564093517,0.03849886501802329,NA,0.026659506944613276,0,0.008717638559144873,NA,0.10516798113152245,0.08161796685390416,0.06605365093230862,NA
C4.MADGRA.1,0.04382439550724481,0.04877518007520063,0.015328523807904372,NA,0.03890772737224923,0.08341430001600675,0.026809293677659485,NA,0.10306001522047065,0.06737887663373403,0.0690519859226213,NA
C4.TORARV.1,0.0463066463202283,0.05859526391841246,0.026967751400319696,NA,0.02152368415136241,-0.005138355994241942,0.04254095856594526,NA,0.08996927513507667,0.07548589197885702,0.07000746277321156,NA
C4.TRIHIR.1,0.04818319109597569,0.038171076810100096,-0.0139375380615144,NA,0.026659506944613276,0.016183593859390034,0,NA,0.11794235940162302,0.07844811700758454,0.03227227397581529,NA
