Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
Blue Oak Ranch Reserve,3/22/22,10,Trifolium hirtum,10,,,fuzzy
Blue Oak Ranch Reserve,3/22/22,10,Trifolium fineleaf,1,,,fine-leaved 
Blue Oak Ranch Reserve,3/22/22,10,Unknown fuzzy forb,5,,,
Blue Oak Ranch Reserve,3/22/22,10,Vicia sativa,7,,,
Blue Oak Ranch Reserve,5/26/22,10,Avena barbata,12,,,
Blue Oak Ranch Reserve,5/26/22,10,Bromus diandrus,2,,,
Blue Oak Ranch Reserve,5/26/22,10,Bromus hordeaceus,1,,,
McLaughlin Natural Reserve,3/23/22,1,Bare ground,7,,,
McLaughlin Natural Reserve,3/23/22,1,Bulb,1,,,cylindrical
McLaughlin Natural Reserve,3/23/22,1,Clarkia purpurea,3,,,
McLaughlin Natural Reserve,3/23/22,1,Erodium botrys,16,,,could be brachycarpum
McLaughlin Natural Reserve,3/23/22,1,Grass,1,,,not in fl yet
McLaughlin Natural Reserve,3/23/22,1,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,3/23/22,1,Litter,10,,,
McLaughlin Natural Reserve,3/23/22,1,Lupinus bicolor,30,,,
McLaughlin Natural Reserve,3/23/22,1,Micropus californicus,4,,,
McLaughlin Natural Reserve,3/23/22,1,Plagiobothrys nothofulvus,1,,,
McLaughlin Natural Reserve,3/23/22,1,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,1,Trifolium hirtum,3,,,fuzzy
McLaughlin Natural Reserve,5/16/22,1,Avena barbata,1,,,
McLaughlin Natural Reserve,5/16/22,1,Bromus diandrus,2,,,
McLaughlin Natural Reserve,5/16/22,1,Elymus caput-medusae,1,,,
McLaughlin Natural Reserve,5/16/22,1,Bromus hordeaceus,2,,,
McLaughlin Natural Reserve,3/23/22,2,Acmispon wrangelianus,4,,,
McLaughlin Natural Reserve,3/23/22,2,Bare ground,2,,,
McLaughlin Natural Reserve,3/23/22,2,Bulb,2,,,
McLaughlin Natural Reserve,3/23/22,2,Clarkia purpurea,2,,,
McLaughlin Natural Reserve,3/23/22,2,Erodium botrys,4,,,
McLaughlin Natural Reserve,3/23/22,2,Grass,10,,,medusa head is in this plot
McLaughlin Natural Reserve,3/23/22,2,Holocarpha virgata,5,,,
McLaughlin Natural Reserve,3/23/22,2,Leptosiphon bicolor,1,,,
McLaughlin Natural Reserve,3/23/22,2,Litter,10,,,
McLaughlin Natural Reserve,3/23/22,2,Lupinus bicolor,30,,,
McLaughlin Natural Reserve,3/23/22,2,Micropus californicus,3,,,
McLaughlin Natural Reserve,3/23/22,2,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,2,Trifolium sp.,1,,,fuzzy
McLaughlin Natural Reserve,3/23/22,2,Trifolium sp.,1,,,Inflated fruit
McLaughlin Natural Reserve,3/23/22,2,Trifolium sp.,1,,,not fuzzy
McLaughlin Natural Reserve,3/23/22,2,Tryphysaria eriantha,2,,,
McLaughlin Natural Reserve,5/16/22,2,Avena barbata,1,,,could be barbata
McLaughlin Natural Reserve,5/16/22,2,Bromus diandrus,1,,,could be barbata
McLaughlin Natural Reserve,5/16/22,2,Elymus caput-medusae,25,,,could be barbata
McLaughlin Natural Reserve,5/16/22,2,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,3/23/22,3,Acmispon wrangelianus,1,,,
McLaughlin Natural Reserve,3/23/22,3,Bare ground,1,,,
McLaughlin Natural Reserve,3/23/22,3,Bulb,5,,,
McLaughlin Natural Reserve,3/23/22,3,Clarkia purpurea,5,,,
McLaughlin Natural Reserve,3/23/22,3,Erodium botrys,7,,,
McLaughlin Natural Reserve,3/23/22,3,Grass,25,,,
McLaughlin Natural Reserve,3/23/22,3,Holocarpha virgata,20,,,
McLaughlin Natural Reserve,3/23/22,3,Litter,40,,,
McLaughlin Natural Reserve,3/23/22,3,Lupinus bicolor,12,,,
McLaughlin Natural Reserve,3/23/22,3,Micropus californicus,8,,,
McLaughlin Natural Reserve,3/23/22,3,Rock,0,,,
McLaughlin Natural Reserve,3/23/22,3,Sanicula bipinnata,3,,,
McLaughlin Natural Reserve,5/16/22,3,Avena barbata,1,,,could be barbata
McLaughlin Natural Reserve,5/16/22,3,Bromus diandrus,2,,,could be barbata
McLaughlin Natural Reserve,5/16/22,3,Elymus caput-medusae,25,,,could be barbata
McLaughlin Natural Reserve,5/16/22,3,Bromus hordeaceus,1,,,could be barbata
McLaughlin Natural Reserve,5/16/22,3,Briza minor,1,,,
McLaughlin Natural Reserve,5/16/22,3,Juncus sp.,2,,,
McLaughlin Natural Reserve,5/16/22,3,Logfia gallica,1,,,
McLaughlin Natural Reserve,3/23/22,4,Acmispon wrangelianus,2,,,
McLaughlin Natural Reserve,3/23/22,4,Bare ground,0,,,
McLaughlin Natural Reserve,3/23/22,4,Bulb,1,,,
McLaughlin Natural Reserve,3/23/22,4,Clarkia purpurea,25,,,
McLaughlin Natural Reserve,3/23/22,4,Erodium botrys,15,,,
McLaughlin Natural Reserve,3/23/22,4,Galium sp.,1,,,
McLaughlin Natural Reserve,3/23/22,4,Grass,3,,,
McLaughlin Natural Reserve,3/23/22,4,Holocarpha virgata,2,,,
McLaughlin Natural Reserve,3/23/22,4,Hypochaeris glabra,5,,,
McLaughlin Natural Reserve,3/23/22,4,Litter,17,,,
McLaughlin Natural Reserve,3/23/22,4,Lupinus bicolor,5,,,
McLaughlin Natural Reserve,3/23/22,4,Micropus californicus,1,,,
