sample,total.leaf.area
H7PLAERE2_20230412,1.919
H7TRIHIR2_20230509,4.879
H8AVEFAT2_20230421,16.561
H8BRODIA2_20230501,10.057
H8BROHOR2_20230503,7.046
H8BROMAD2_20230423,3.52
H8CENMEL2_20230507,31.606
H8EROCIC1_20230401,0.427
H8MICCAL2_20230427,2.07
I1AVEBAR2_20230421,10.042
I1BRODIA2_20230501,17.177
I1BROHOR2_20230503,11.69
I1CLAPUR2_20230507,2.227
I1DAUPUS1_20230522,3.404
I1GERDIS2_20230410,12.025
I1LUPBIC1_20230428,2.721
I1MADGRA2_20230515,7.37
I1TORARV2_20230520,5.328
I1VICSAT2_20230423,18.501
I2AVEFAT2_20230421,25.018
I2BRODIA2_20230501,12.819
I2BROHOR2_20230503,5.435
I2BROMAD2_20230424,2.763
I2CALMEN1_20230403,1.503
I2CENMEL2_20230507,36.424
I2EROCIC2_20230401,14.017
I2MICCAL2_20230427,2.644
I3AMSMEN2_20230405,6.4
I3AVEBAR2_20230421,17.098
I3BROARE2_20230324,6.843
I3BRODIA2_20230501,13.623
I3BROMAD2_20230423,3.186
I3EROCIC2_20230401,1.986
I3PHATAN2_20230405,17.987
I4AVEBAR2_20230421,37.273
I4BRODIA2_20230501,6.332
I4BROHOR2_20230503,12.378
I4CLAPUR2_20230507,1.986
I4DAUPUS2_20230522,4.944
I4EROBOT1_20230405,28.604
I4GERDIS2_20230410,11.748
I4MADGRA2_20230515,11.384
I4TORARV2_20230520,5.735
I4VICSAT2_20230423,13.719
I5AIRCAR2_20230509,0.801
I5BRODIA2_20230501,14.841
I5BROHOR2_20230503,9.124
I5CLAPUR2_20230507,1.087
I5GALPAR2_20230426,0.385
I5HYPGLA2_20230426,7.402
I5MADGRA2_20230515,4.522
I6ACMPAR1_20230509_NOLICOR,0.073
I6AIRCAR1_20230509,0.185
I6BRODIA2_20230501,6.566
I6BROHOR2_20230503,6.341
I6CLAPUR2_20230507,0.824
I6DAUPUS2_20230522,7.069
I6GALPAR2_20230426,0.583
I6HYPGLA2_20230426,9.612
I6MADGRA2_20230515,5.631
I7AVEBAR2_20230421,26.86
I7BRODIA2_20230501,9.783
I7BROHOR2_20230503,5.112
I7BROMAD2_20230423,4.049
I7CLAPUR2_20230507,2.499
I7ELYCAP2_20230520,3.047
I7HOLVIR1_20230903,0.595
I7LUPBIC2_20230428,1.012
I7MICCAL2_20230427,2.707
I7PLAERE2_20230410,2.45
I8ACMPAR1_20230509,0.342
I8AIRCAR2_20230509,0.663
I8BRODIA2_20230501,13.099
I8BROHOR2_20230503,9.343
I8CLAPUR2_20230507,1.101
I8DAUPUS2_20230522,10.451
I8GALPAR2,1.377
I8HYPGLA2_20230426,13.687
I8MADGRA2_20230515,7.061
J1AVEBAR2_20230421,22.496
J1BRODIA2_20230501,11.496
J1BROHOR2_20230503,6.151
J1CLAPUR2_20230507,1.682
J1DAUPUS2_20230522,6.187
J1EROBOT2_20230405,10.359
J1GERDIS2_20230410,5.166
J1LUPBIC2_20230428,0.977
J1MADGRA2_20230515,6.696
J1TORARV2_20230520,4.206
J1TRIHIR2_20230509,8.271
J1VICSAT2_20230423,11.392
J2ACMPAR1_20230509,0.426
J2AIRCAR2_20230509,0.492
J2BRODIA2_20230501,10.396
J2BROHOR2_20230503,10.181
J2CLAPUR2_20230507,0.801
J2DAUPUS2_20230522,7.17
J2GALPAR2_20230426,1.168
J2HYPGLA2_20230426,5.479
J2MADGRA2_20230515,2.703
J3AVEBAR2_20230421,30.563
J3BRODIA2_20230501,9.811
J3BROHOR2_20230503,5.795
J3BROMAD2_20230423,5.54
J3CLAPUR2_20230507,2.181
J3ELYCAP2_20230520,3.696
J3HOLVIR2_20230903,0.866
J3LUPBIC2_20230428,0.67
J3MICCAL2_20230427,1.74
J3PLAERE2_20230410,3.975
J4AMSMEN2_20230405,5.337
J4AVEBAR2_20230421,10.1
J4BROARE2_20230324,8.267
J4BRODIA2_20230501,18.723
J4BROMAD2_20230423,6.074
J4EROCIC2_20230401,23.995
J4PHATAN2_20230405,13.168
J5AVEFAT2_20230421,10.325
J5BRODIA2_20230501,6.273
J5BROHOR2_20230503,7.971
J5BROMAD2_20230423,5.291
J5CENMEL2_20230507,20.731
J5EROCIC2_20230401,12.448
J5MICCAL2_20230427,2.755
J6AVEBAR2_20230421,27.435
J6BRODIA2_20230501,8.887
J6BROHOR2_20230503,4.2
J6BROMAD2_20230423,4.07
J6CLAPUR2_20230507,2.929
J6ELYCAP2_20230520,2.338
J6LUPBIC2_20200428,1.505
J6MICCAL2_20230427,1.194
J6PLAERE2_20230410,3.195
J6TRIHIR2_20230509,5.003
J7AMSMEN2_20230405,3.628
J7AVEBAR2_20230421,22.543
J7BROARE2_20230324,5.621
J7BRODIA2_20230501,8.589
J7BROMAD2_20230423,4.358
J7EROCIC1_20230401,6.536
J7LUPMIC1_20230424,2.204
J7PHATAN2_20230405,9.663
J8AVEFAT2_20230421,29.501
J8BRODIA2_20230501,13.189
J8BROHOR2_20230503,6.655
J8BROMAD2_20230423,5.156
J8CALMEN1_20230403,3.303
J8CENMEL2_20230507,13.378
J8EROCIC2_20230401,9.684
J8MICCAL2_20230427,1.557
