Plant_ID,Species,Recorder,Collection_Date,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,NOTES
B5.PLAERE.1,PLAERE,AT,5/17/23,707,0.0048,0.0042,0.0029,0.0043,0.0045,0.0045,0.0042,0.0042,0.0046,0.0048,2.01,
C1.PLAERE.1,PLAERE,HK,5/17/23,54,0.0033,0.0068,0.0041,0.0056,0.0073,0.0034,0.0037,0.003,0.004,0.0069,0.1865,
D4.PLAERE.1,PLAERE,HK,5/17/23,108,0.0037,0.0035,0.0023,0.0029,0.004,0.004,0.0042,0.0028,0.0026,0.0032,0.3334,
E7.PLAERE.1,PLAERE,HR,5/17/23,184,0.0026,0.0039,0.0038,0.0043,0.0041,0.0025,0.0034,0.0038,0.0039,0.0037,0.45,
F4.PLAERE.1,PLAERE,HK,5/11/23,145,0.0067,0.0065,0.0053,0.0062,0.006,0.0052,0.0027,0.0043,0.0051,0.0066,0.4207,
F5.PLAERE.1,PLAERE,HK,5/17/23,885,0.0032,0.0026,0.0046,0.0046,0.005,0.0036,0.0025,0.0044,0.0059,0.0026,2.106,
G2.PLAERE.1,PLAERE,AT,5/17/23,533,0.0052,0.0025,0.0051,0.0041,0.003,0.004,0.0044,0.0045,0.0027,0.005,1.59,
G5.PLAERE.1,PLAERE,HR,5/17/23,155,0.0027,0.0027,0.003,0.0025,0.0029,0.0027,0.0022,0.0021,0.0032,0.003,0.41,
H4.PLAERE.1,PLAERE,HR,5/17/23,186,0.0064,0.004,0.0033,0.0058,0.0062,0.0029,0.0033,0.0066,0.0061,0.006,0.69,
H7.PLAERE.1,PLAERE,HR,5/17/23,73,0.003,0.0025,0.0034,0.002,0.0031,0.0023,0.0028,0.0045,0.0038,0.0019,0.21,
