Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
E7 TRIHIR 1,-31.9,1404.94,,-0.94,80.12,,USDADrought3,B6,leaf,"13C, %N",3.47,2225735,612442,D,
E8 AVEBAR 2,-29.81,1278.39,,3.43,62.59,,USDADrought4,H11,leaf,"13C, %N",3.212,2225908,613586,D,
E8 BRODIA 2,-30.59,1339.94,,1.79,56.09,,USDADrought5,A3,leaf,"13C, %N",3.353,2225912,612668,D,
E8 BROHOR 2,-30.8,1249.05,,1.62,77.4,,USDADrought4,G7,leaf,"13C, %N",3.143,2225892,613564,D,
E8 CLAPUR 2,-31.11,1376.73,,3,51.13,,USDADrought4,E3,leaf,"13C, %N",3.41,2225864,612613,D,
E8 DAUPUS 2,-31.64,1396.36,,0.54,65.17,,USDADrought5,E3,leaf,"13C, %N",3.552,2225960,612734,D,
E8 EROBOT 1,-30.2,1187.12,,5.07,65.79,,USDADrought2,F3,leaf,"13C, %N",3.526,2225684,613697,D,
E8 GERDIS 2,-30.6,1328.45,,1.8,60.19,,USDADrought2,E10,leaf,"13C, %N",3.797,2225679,612373,D,
E8 MADGRA 2,-29.55,1375.51,,2.58,82.04,,USDADrought3,F5,leaf,"13C, %N",3.509,2225782,612505,D,
E8 TORARV 2,-31.48,1234.71,,0.26,47.08,,USDADrought1,H7,leaf,"13C, %N",3.699,2225616,612292,D,
E8 TRIHIR 1,-32.16,1192.49,,-0.27,89.71,,USDADrought1,H11,leaf,"13C, %N",3.095,2225620,612296,D,
E8 VICSAT 2,-29.04,1347.08,,0.31,112.94,,USDADrought3,E6,leaf,"13C, %N",3.16,2225771,612490,D,
F1 BRODIA 2,-29.9,1350.01,,1.71,58.98,,USDADrought2,H7,leaf,"13C, %N",3.497,2225712,611587,D,
F1 BROHOR 2,-29.64,1474.47,,1.92,89.92,,USDADrought4,G10,leaf,"13C, %N",3.735,2225895,613567,D,
F1 CLAPUR 2,-30.13,1356.43,,2.18,66.14,,USDADrought1,E6,leaf,"13C, %N",3.333,2225579,612243,D,
