sample,total.leaf.area
A7ESCCAL2_20230429,3.45
B3ESCCAL2_20230429,2.013
B4ESCCAL1_20230429,2.813
B6ESCCAL2_20230429,0.778
B8ESCCAL2_20230429,3.721
C2ESCCAL2_20230429,2.209
C3ESCCAL1_20230429,3.654
C8ESCCAL1_20230429,1.126
D1ESCCAL2_20230429,2.581
D7ESCCAL2_20230429,4.594
D8ESCCAL2_20230429,3.194
E1ESCCAL2_20230429,1.057
E3ESCCAL2_20230429,1.237
E5ESCCAL2_20230429,2.697
E6ESCCAL2_20230429,4.497
F1ESCCAL1_20230429,1.169
F2ESCCAL1_20230429,1.215
F6ESCCAL2_20230429,5.22
G3ESCCAL2_20230428,2.336
G6ESCCAL2_20230428,2.898
G7ESCCAL2_20230428,2.094
H1ESCCAL2_20230428,4.619
H2ESCCAL2_20230428,2.111
H6ESCCAL2_20230428,2.009
H8ESCCAL2_20230428,5.159
I2ESCCAL2_20230428,2.197
I3ESCCAL1_20230428,3.249
I5ESCCAL2_20230429,1.984
I8ESCCAL1_20230428,2.364
J2ESCCAL2_20230428,1.7
J5ESCCAL2_20230428,4.453
J8ESCCAL2_20230428,4.09
A1GALPAR2_20230426,0.542
B4GALPAR2_20230428,0.768
C3GALPAR2_20230426,0.609
C8GALPAR2_20230426,0.724
D1GALPAR2_20230426,0.874
E1GALPAR2_20230426,0.453
E3GALPAR2_20230426,0.478
F1GALPAR2_20230426,0.797
G6GALPAR2_20230426,0.601
G7GALPAR2_20230426,0.997
H2GALPAR2_20230426,0.319
H6GALPAR2_20230426,1.677
I5GALPAR2_20230426,0.385
I6GALPAR2_20230426,0.583
I8GALPAR2-I6_20230426,1.377
J2GALPAR2_20230426,1.168
A3GERDIS2_20230410,4.642
B1GERDIS2_20230410,3.992
B7GERDIS2_20230410,4.909
C4GERDIS2_20230410,5.449
C5GERDIS2_20230410,2.471
D2GERDIS2_20230410,5.194
D6GERDIS2_20230410,4.547
E8GERDIS2_20230410,5.539
F3GERDIS2_20230410,4.587
F8GERDIS2_20230410,5.214
G1GERDIS2_20230410,5.096
G8GERDIS2_20230410,1.513
H5GERDIS2_20230410,4.633
I1GERDIS2_20230410,4.277
I4GERDIS2_20230410,5.252
J1GERDIS2_20230410,4.152
A5HOLVIR1_20230903,2.104
A8HOLVIR1_20230903,0.944
B2HOLVIR2_20230903,2.192
B5HOLVIR2_20230903,1.988
C1HOLVIR2_20230903,0.837
D4HOLVIR2_20230903,1.491
F5HOLVIR2_20230903,0.943
G2HOLVIR2_20230903,1.583
G5HOLVIR2_20230903,0.78
H4HOLVIR1_20230903,0.958
H7HOLVIR1_20230903,1.385
I7HOLVIR1_20230903,0.595
J3HOLVIR2_20230903,0.866
A1HYPGLA2_20230426,5.086
B4HYPGLA2_20230426,4.845
C3HYPGLA2_20230426,6.011
C8HYPGLA2_20230426,4.857
D1HYPGLA2_20230426,4.269
E1HYPGLA2_20230426,2.221
E3HYPGLA2_20230426,1.682
F1HYPGLA2_20230426,2.988
G6HYPGLA2_20230426,3.669
G7HYPGLA2_20230426,4.015
H2HYPGLA2_20230426,3.862
H6HYPGLA2_20230426,4.34
I5HYPGLA2_20230426,3.532
I6HYPGLA2_20230426,3.429
I8HYPGLA2_20230426,5.013
J2HYPGLA2_20230426,2.796
A3LUPBIC1_20230427,1.409
A5LUPBIC2_20230427,1.306
A8LUPBIC2_20230428,1.097
B1LUPBIC2_20230428,1.286
B2LUPBIC2_20230428,3.298
B5LUPBIC1_20230423,2.935
C1LUPBIC2_20230428,1.963
C4LUPBIC2_20230428,0.626
D2LUPBIC2_20230428,1.58
D6LUPBIC1_20230428,0.74
E7LUPBIC2_20230428,2.954
E8LUPBIC1_20230428,2.325
F3LUPBIC2_20230427,0.6
F5LUPBIC2_20230428,2.211
F8LUPBIC2_20230428,0.616
G1LUPBIC1_20230428,0.692
G2LUPBIC2_20230428,1.347
G8LUPBIC1_20230428,1.681
H4LUPBIC2_20230428,1.95
I1LUPBIC1_20230428,2.289
I7LUPBIC2_20230428,0.796
J1LUPBIC2_20230428,0.771
J3LUPBIC2_20230428,0.6
J6LUPBIC2_20200428,1.35
A4LUPMIC1_20230424,0.984
C7LUPMIC2_20230424,5.862
D5LUPMIC1_20230424,5.075
E2LUPMIC1_20230424,4.208
E4LUPMIC2_20230424,3.353
F2LUPMIC1_20230424,0.952
F7LUPMIC2_20230424,6.028
J7LUPMIC1_20230424,1.482
F2LUPSUC1_20230428,3
A1MADGRA2_20230515,1.582
A3MADGRA2_20230515,2.47
B1MADGRA2_20230515,1.209
B4MADGRA2_20230515,1.852
C3MADGRA2_20230515,1.677
C4MADGRA2_20230515,2.181
C5MADGRA2_20230515,1.93
C8MADGRA2_20230515,1.732
D1MADGRA2_20230515,1.436
D2MADGRA2_20230515,1.398
D6MADGRA2_20230515,0.818
E1MADGRA2_20230515,1.097
E3MADGRA2_20230515,1.04
E8MADGRA2_20230515,2.307
F1MADGRA2_20230515,0.848
F3MADGRA2_20230515,1.519
F8MADGRA2_20230515,2.617
G7MADGRA2_20230515,1.307
G8MADGRA2_20230515,2.45
H2MADGRA2_20230515,0.916
H5MADGRA2_20230515,2.16
H6MADGRA2_20230515,1.596
I1MADGRA2_20230515,1.947
I4MADGRA2_20230515,2.319
I5MADGRA2_20230515,1.312
I6MADGRA2_20230515,1.474
I8MADGRA2_20230515,1.975
J1MADGRA2_20230515,1.706
J2MADGRA2_20230515,0.868
A5MICCAL2_20230427,1.213
A6MICCAL2_20230427,1.404
A8MICCAL2_20230427,1.121
B2MICCAL2_20230427,1.605
B3MICCAL2_20230427,1.741
B5MICCAL2_20230427,0.779
B6MICCAL2_20230427,1.855
C1MICCAL2_20230427,2.356
C2MICCAL2_20230427,3.996
D4MICCAL2_20230427,1.911
D7MICCAL2_20230427,1.434
D8MICCAL2_20230427,1.052
E5MICCAL2_20230427,1.559
E7MICCAL2_20230427,2.495
F4MICCAL2_20230427,1.435
F5MICCAL2_20230427,1.516
F6MICCAL2_20230427,0.909
G2MICCAL2_20230427,2.347
G3MICCAL2_20230427,2.027
G5MICCAL2_20230427,2.281
H1MICCAL2_20230427,0.964
H4MICCAL2_20230427,1.783
H7MICCAL2_20230427,1.398
H8MICCAL2_20230427,2.07
I2MICCAL2_20230427,2.644
I7MICCAL2_20230427,2.707
J3MICCAL2_20230427,1.74
J5MICCAL2_20230427,2.755
J6MICCAL2_20230427,1.194
A4PHATAN2_20230401,3.277
D5PHATAN1_20230405,1.116
E2PHATAN2_20230405,2.797
E4PHATAN2_20230405,2.1
G4PHATAN2_20230401,2.561
I2PHATAN2_20230405,1.736
J4PHATAN2_20230405,2.112
J7PHATAN2_20230405,1.88
A5PLAERE2_20230412,1.321
A8PLAERE2_20230412,0.798
B2PLAERE2_20230412,1.108
B5PLAERE2_20230412,0.787
C1PLAERE2_20230412,0.93
D4PLAERE2_20230410,0.802
E7PLAERE2_20230410,0.922
F4PLAERE2_20230412,0.859
F5PLAERE2_20230404,1.058
G2PLAERE2_20230412,0.926
G5PLAERE2_20230412,1.049
H4PLAERE2_20230412,1.25
H7PLAERE2_20230412,0.664
I7PLAERE2_20230410,1.057
J3PLAERE2_20230410,1.147
J6PLAERE2_20230410,0.877
A7STIPUL2_20230520,0.417
B3STIPUL2_20230520,0.35
B6STIPUL2_20230520,0.545
C2STIPUL2_20230520,0.369
D7STIPUL2_20230520,0.371
D8STIPUL2_20230520,0.393
E5STIPUL2_20230520,0.402
