sample,total.leaf.area,Date,Plant_ID,Sp_Code,Plot
G2BRODIA2_20230430,5.975,2023-04-30,G2.BRODIA.2,BRODIA,G2
G3BRODIA2_20230430,7.649,2023-04-30,G3.BRODIA.2,BRODIA,G3
G4BRODIA2_20230430,11.865,2023-04-30,G4.BRODIA.2,BRODIA,G4
G5BRODIA2_20230430,8.087,2023-04-30,G5.BRODIA.2,BRODIA,G5
G6BRODIA2_20230430,10.759,2023-04-30,G6.BRODIA.2,BRODIA,G6
G7BRODIA2_20230430,13.018,2023-04-30,G7.BRODIA.2,BRODIA,G7
G8BRODIA2_20230430,10.289,2023-04-30,G8.BRODIA.2,BRODIA,G8
H1BRODIA2_20230430,9.434,2023-04-30,H1.BRODIA.2,BRODIA,H1
H2BRODIA2_20230430,10.522,2023-04-30,H2.BRODIA.2,BRODIA,H2
H3BRODIA2_20230430,7.114,2023-04-30,H3.BRODIA.2,BRODIA,H3
H4BRODIA2_20230430,5.035,2023-04-30,H4.BRODIA.2,BRODIA,H4
H5BRODIA2_20230430,7.722,2023-04-30,H5.BRODIA.2,BRODIA,H5
H6BRODIA2_20230430,10.156,2023-04-30,H6.BRODIA.2,BRODIA,H6
H7BRODIA2_20230501,9.385,2023-05-01,H7.BRODIA.2,BRODIA,H7
H8BRODIA2_20230501,10.057,2023-05-01,H8.BRODIA.2,BRODIA,H8
I1BRODIA2_20230501,17.177,2023-05-01,I1.BRODIA.2,BRODIA,I1
I2BRODIA2_20230501,12.819,2023-05-01,I2.BRODIA.2,BRODIA,I2
I3BRODIA2_20230501,13.623,2023-05-01,I3.BRODIA.2,BRODIA,I3
I4BRODIA2_20230501,6.332,2023-05-01,I4.BRODIA.2,BRODIA,I4
I5BRODIA2_20230501,14.841,2023-05-01,I5.BRODIA.2,BRODIA,I5
I6BRODIA2_20230501,6.566,2023-05-01,I6.BRODIA.2,BRODIA,I6
I7BRODIA2_20230501,9.783,2023-05-01,I7.BRODIA.2,BRODIA,I7
I8BRODIA2_20230501,13.099,2023-05-01,I8.BRODIA.2,BRODIA,I8
J1BRODIA2_20230501,11.496,2023-05-01,J1.BRODIA.2,BRODIA,J1
J2BRODIA2_20230501,10.396,2023-05-01,J2.BRODIA.2,BRODIA,J2
J3BRODIA2_20230501,9.811,2023-05-01,J3.BRODIA.2,BRODIA,J3
J4BRODIA2_20230501,18.723,2023-05-01,J4.BRODIA.2,BRODIA,J4
J5BRODIA2_20230501,6.273,2023-05-01,J5.BRODIA.2,BRODIA,J5
J6BRODIA2_20230501,8.887,2023-05-01,J6.BRODIA.2,BRODIA,J6
J7BRODIA2_20230501,8.589,2023-05-01,J7.BRODIA.2,BRODIA,J7
J8BRODIA2_20230501,13.189,2023-05-01,J8.BRODIA.2,BRODIA,J8
A1BROHOR2_20230503,17.179,2023-05-03,A1.BROHOR.2,BROHOR,A1
A3BROHOR2_20230503,14.623,2023-05-03,A3.BROHOR.2,BROHOR,A3
